USER_ID,visitorstatus,prepaid_postpaid,purchasedpackages,loginprofile,clientdebt,navigationspeed,ERROR,abonos:sin abonos,averias:averias,avisos:detalle de factura,avisos:flujo autodiagnostico,avisos:ko,avisos:mis productos,avisos:nacional,avisos:ok,avisos:resumen,avisos:upgrade,avisos:upgrade perfil,bienvenida:ko,confirmacion direccion correo:confirmar pdf2mail,consentimiento permisos:ko,consigue una nueva clave:bienvenido vamos a iniciar el cambio de clave,consigue una nueva clave:confirma tu solicitud,consigue una nueva clave:elige tu clave,consigue una nueva clave:identificate,consigue una nueva clave:se ha actualizado la clave,datos personales:acceso,datos personales:autorizados,datos personales:contratos y documentos,datos personales:facturacion,datos personales:permanencias,datos personales:preferencias,datos personales:privacidad de tus datos,datos personales:titular,home:mis productos,imperlogin:imperdiscriminador,imperlogin:imperloginintermedia,mi wifi:activar wifi,mi wifi:cambiar canal,mi wifi:cambiar contrasena,mi wifi:cambiar contrasena wifi,mi wifi:cambiar nombre red,mi wifi:cambio tipo seguridad,mi wifi:desactivar wifi,mi wifi:flujo autodiagnostico,mi wifi:ko,mi wifi:mis productos,mi wifi:ok,mi wifi:resumen,mi wifi:upgrade,mi wifi:upgrade perfil,mis facturas:abonos,mis facturas:estado de mis pagos,mis facturas:facturas de dispositivos,mis facturas:mis facturas,mis facturas:opciones,mis productos:consumo,mis productos:decodificadores,mis productos:home,mis productos:movil y sim,mis productos:nacional,mis productos:opciones,mis productos:producto contratado,mis productos:que tienes contratado,mis productos:recarga y anticipo,mis productos:saldo y consumo,mis productos:tarifa,mis productos:tarifas,mis productos:v by vodafone,mis productos:vodafone tv,popup lego:no bloqueante,que necesitas:compromiso de permanencia,que necesitas:facturas,que necesitas:mis datos personales,recuperar clave:escribe tu clave,recuperar clave:verificar email,registrate en mi vodafone:elige tu clave,registrate en mi vodafone:enhorabuena, se ha cambiado el usuario,registrate en mi vodafone:error,registrate en mi vodafone:identificate,registrate en mi vodafone:perfil,registrate en mi vodafone:revisa tu bandeja de entrada,registro:confirmacion,registro:popup numero ono,registro:selecciona tu perfil,resumen:nacional,seguimiento de pedidos:mis productos,seguimiento de pedidos:pedidos completados,seguimiento de pedidos:pedidos en curso,servicios antiguos ono:modificar clave,super wifi:contratacion,te ayudamos:detalle de factura,te ayudamos:ko,te ayudamos:mis productos,te puede interesar:contacta,television y mas:amazon prime,television y mas:filmin,television y mas:hbo espana,television y mas:television,television y mas:tidal,television y mas:tv online,television:tv filmin,vodafone tv:resumen tv,vodafone tv:upselling,cliente activo,desconectado,pendiente de cambio,pendiente de desconectar,pendiente de instalar,pendiente de reconectar,Country,Region,City,PrimaryHardwareType,OSName,BrowserName,Recommendation,pageName,paginasenlavisita,platform,VERBATIM,NPS
100630601,particular postpago,particular postpago,one,completo,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,Spain,Pais Vasco,Basauri,Desktop,Windows 10,Chrome,8,mi vodafone:mis productos:producto contratado,6,estandar,True,Neutro
104157984,Unknown,velocidad maxima,completo,ver producto contratado,new,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spain,Galicia,Vigo,Desktop,OS X,Firefox,8,mi vodafone:mis productos:producto contratado,10,estandar,True,Neutro
104157984,particular postpago,particular postpago,no paquete,completo,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,Spain,Galicia,Vigo,Desktop,OS X,Firefox,8,mi vodafone:mis productos:producto contratado,10,estandar,True,Neutro
104250476,particular postpago,particular postpago,no paquete,completo,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,Spain,Catalunya,Barcelona,Desktop,Windows 10,Chrome,10,mi vodafone:vodafone tv:resumen tv,11,estandar,True,Promotor
104610068,particular postpago,particular postpago,one,completo,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,Spain,Andalucia,Granada,Desktop,Windows 10,Firefox,3,mi vodafone:datos personales:facturacion,14,estandar,True,Detractor
104714978,Unknown,velocidad maxima,completo,ver producto contratado,new,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spain,"Valenciana, Comunidad",Valencia,Desktop,Windows 10,Edge,9,mi vodafone:mis productos:producto contratado,14,estandar,True,Promotor
104714978,particular postpago,particular postpago,one,completo,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Spain,"Valenciana, Comunidad",Valencia,Desktop,Windows 10,Edge,9,mi vodafone:mis productos:producto contratado,14,estandar,True,Promotor
104876854,particular postpago,particular postpago,one,completo,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,,Spain,"Murcia, Region de",Murcia,Desktop,OS X,Safari,6,mi vodafone:mis productos:producto contratado,7,estandar,True,Detractor
104876854,particular postpago,velocidad maxima,one,completo,new|repeat,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spain,"Murcia, Region de",Murcia,Desktop,OS X,Safari,6,mi vodafone:mis productos:producto contratado,7,estandar,True,Detractor
107280401,particular postpago,particular postpago,one,completo,False,True,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,Spain,Illes Balears,Palma,Desktop,Windows 10,Edge,6,mi vodafone:datos personales:facturacion,15,estandar,True,Detractor
